﻿Title,Year,Rating,Director.Gender,CC_Male,CC_Female,CC_Unknown,Genre_1,Genre_2,Genre_3,Gross,Gross_Adjusted,Meta
Gone with the Wind,1939,Passed,male,104,55,0,Drama,History,Romance,198680000.00," 3,953,431,835.97 ",97
Pinocchio,1940,G,male,11,9,0,Animation,Adventure,Comedy,84250000.00,1664473089.29,99
Star Wars: Episode IV - A New Hope,1977,PG,male,0,0,0,Action,Adventure,Fantasy,322740000.00,1473041812.87,90
The Exorcist,1973,R,male,28,14,0,Horror,,,232910000.00,1450908648.42,81
The Sound of Music,1965,G,male,34,9,0,Biography,Drama,Family,163210000.00,1433082244.13,63
Jaws,1975,PG,male,61,21,0,Adventure,Thriller,,260000000.00,1336675464.68,87
E.T. the Extra-Terrestrial,1982,PG,male,0,0,0,Adventure,Family,Sci-Fi,435110000.00,1247115438.24,91
The Jungle Book,1967,G,male,41,9,0,Animation,Adventure,Comedy,141840000.00,1174592328.14,65
Titanic,1997,PG-13,male,128,43,0,Drama,Romance,,659330000.00,1136220718.82,75
Star Wars: Episode VII - The Force Awakens,2015,PG-13,male,0,0,0,Action,Adventure,Sci-Fi,936660000.00,1093043337.57,80
The Sting,1973,PG,male,46,17,0,Comedy,Crime,Drama,159600000.00,994225324.32,83
Avatar,2009,PG-13,male,68,31,0,Action,Adventure,Fantasy,760510000.00,980477495.21,83
Star Wars: Episode V - The Empire Strikes Back,1980,PG,male,0,0,0,Action,Adventure,Fantasy,290480000.00,975043358.25,82
Mary Poppins,1964,G,male,53,23,0,Comedy,Family,Fantasy,102270000.00,912476033.23,88
The Godfather,1972,R,male,61,20,0,Crime,Drama,,134970000.00,893091323.68,100
The Graduate,1967,PG,male,38,10,0,Comedy,Drama,Romance,104950000.00,869102261.98,83
Star Wars: Episode VI - Return of the Jedi,1983,PG,male,0,0,0,Action,Adventure,Fantasy,309130000.00,858453389.26,58
The Lion King,1994,G,male,24,7,0,Animation,Adventure,Drama,422780000.00,789043842.24,88
Star Wars: Episode I - The Phantom Menace,1999,PG,male,0,0,0,Action,Adventure,Fantasy,474540000.00,787830396.52,51
Butch Cassidy and the Sundance Kid,1969,PG,male,25,9,0,Biography,Comedy,Crime,102310000.00,771057781.74,66
Jurassic Park,1993,PG-13,male,18,12,0,Action,Adventure,Sci-Fi,402450000.00,770333861.94,68
Indiana Jones and the Raiders of the Lost Ark,1981,PG,male,61,3,0,Action,Adventure,,248160000.00,755097098.35,85
The Avengers,2012,PG-13,male,112,40,0,Action,Adventure,Sci-Fi,623280000.00,750857565.62,69
Avengers: Infinity War,2018,PG-13,male,101,39,1,Action,Adventure,Sci-Fi,678820000.00,747705738.91,68
Ben-Hur,1959,G,male,0,0,0,Adventure,Drama,History,74700000.00,710006814.43,90
Star Wars: Episode VIII - The Last Jedi,2017,PG-13,male,0,0,0,Action,Adventure,Fantasy,620180000.00,699799959.29,84
The Dark Knight,2008,PG-13,male,187,56,0,Action,Crime,Drama,534860000.00,687107901.61,84
Blazing Saddles,1974,R,female,116,23,0,Comedy,Western,,119500000.00,670433782.96,73
Ghostbusters,1984,PG,male,68,12,0,Action,Comedy,Fantasy,238630000.00,635249596.44,71
Beverly Hills Cop,1984,R,male,42,16,0,Action,Comedy,Crime,234760000.00,624947388.26,66
