Movie,Year,Genre,,,,,,,,,,,,,,,,
12 Monkeys,1997, Thriller            ,,,,,,,,,,,,,,,,
13 Assassins,2016, Drama            ,,,,,,,,,,,,,,,,
13th,1984, History            ,,,,,,,,,,,,,,,,
21 Grams,2006, Thriller            ,,,,,,,,,,,,,,,,
21 Jump Street,2007, Crime            ,,,,,,,,,,,,,,,,
22 Jump Street,2015, Crime            ,,,,,,,,,,,,,,,,
24 Hour Party People,1989, Drama            ,,,,,,,,,,,,,,,,
28 Days Later...,1990, Sci-Fi            ,,,,,,,,,,,,,,,,
50/50,1999, Romance            ,,,,,,,,,,,,,,,,
500 Days of Summer,2018, Romance            ,,,,,,,,,,,,,,,,
A Bittersweet Life,2008, Drama            ,,,,,,,,,,,,,,,,
A Bug's Life,1956, Comedy            ,,,,,,,,,,,,,,,,
A Fistful of Dollars,1993, Western            ,,,,,,,,,,,,,,,,
A History of Violence,2011, Thriller            ,,,,,,,,,,,,,,,,
A Man Escaped,1995, War            ,,,,,,,,,,,,,,,,
A Monster Calls,1997, Family            ,,,,,,,,,,,,,,,,
A Quiet Place,2013, Sci-Fi            ,,,,,,,,,,,,,,,,
A Simple Plan,2013, Thriller            ,,,,,,,,,,,,,,,,
A Star Is Born,2007, Romance            ,,,,,,,,,,,,,,,,
Adventureland,1996, Romance            ,,,,,,,,,,,,,,,,
Affliction,1997, Thriller            ,,,,,,,,,,,,,,,,
After Hours,2002, Drama            ,,,,,,,,,,,,,,,,
Aladdin,2002, Comedy            ,,,,,,,,,,,,,,,,
Alan Partridge,2015, Crime            ,,,,,,,,,,,,,,,,
Aliens,2018, Sci-Fi            ,,,,,,,,,,,,,,,,
All the President's Men,1966, Thriller            ,,,,,,,,,,,,,,,,
Almost Famous,2014, Drama            ,,,,,,,,,,,,,,,,
Amadeus,1960, Music            ,,,,,,,,,,,,,,,,
American Gangster,2013, Drama            ,,,,,,,,,,,,,,,,
American Psycho,2009, Horror            ,,,,,,,,,,,,,,,,
American Splendor,2014, Drama            ,,,,,,,,,,,,,,,,
American: The Bill Hicks Story,2010, Biography            ,,,,,,,,,,,,,,,,
Amy,1987, Music            ,,,,,,,,,,,,,,,,
Angel Heart,2000, Thriller            ,,,,,,,,,,,,,,,,
Angels with Dirty Faces,2009, Film-Noir            ,,,,,,,,,,,,,,,,
Anvil,1996, Drama            ,,,,,,,,,,,,,,,,
